code,districtCode,newCode,changedDistrictCode
7300,216,07306,
7297,216,07339,
7810,223,07840,
7618,220,07630,
7639,220,07648,
7657,220,07615,
7675,220,07616,
74405,220,07648,
74403,220,07627,
74404,220,07630,
7633,220,07627,
74402,220,07616,
7669,220,07663,
7234,215,07288,
7237,215,07294,
7369,217,07399,
7423,217,07375,
7474,218,07444,
7693,221,07682,
1987,63,01993,
74309,63,01993,
74316,66,02140,
7753,222,07777,
1903,61,01912,
74310,63,02005,
1966,62,01960,
74308,62,01960,
2119,65,02113,
2128,65,02086,
74313,65,02086,
7447,218,07444,
7585,219,07525,
7744,221,07681,
1972,63,01969,
2056,64,02059,
2164,66,02140,
2167,66,02161,
74318,66,02179,
74314,65,02113,
7732,221,07681,
74406,221,07681,
74407,221,07682,
7756,222,07795,
1996,63,02005,
74311,64,02059,
74312,64,02083,
2134,66,02155,
2182,66,	02179,
74315,66,02137,
74317,66,02161,
28771,829,28777,
1369,44,01366,45
1390,44,01387,45
1486,47,01498,
1513,47,01522,
74281,47,01456,
1642,50,01648,49
28774,829,28777,
28867,829,28789,
1492,47,01504,
1510,47,01477,
1528,47,01525,
74282,47,01462,
74286,47,01525,
28816,831,28813,
23002,595,22972,
1459,46,01468,47
74280,47,01453,
74285,47,01471,
74287,48,01564,
1663,51,01666,
1717,51,01702,
74590,829,28777,
28954,833,28945,
74591,833,28945,
28990,834,28987,
29140,836,29137,
74592,836,29137,
23155,599,23167,
23209,600,23206,
1306,42,01297,
1450,46,01456,47
1531,47,1525,
74279,47,1447,
74283,47,1465,
74284,47,1468,
1570,48,1564,
1681,51,1699,
1684,51,1675,
1423,45,1420,
74271,45,1372,
74272,45,1375,
74288,39207,1474,
74289,39207,1576,
74293,39207,1597,
74296,39207,1609,
74299,39207,1624,
74301,39207,1630,
74303,39207,1639,
74304,39207,1645,
74291,39207,1582,
74295,39207,1606,
74298,39207,1618,
74306,39207,1651,
74290,39207,1579,
74292,39207,1594,
74294,39207,1603,
74297,39207,1615,
74300,39207,1627,
74302,39207,1636,
74305,39207,1648,
1588,49,1603,
1798,53,1807,
74594,972,32230,
31132,916,31135,
31138,916,31135,
74337,94,3316,
74339,94,3325,
1741,52,1315,
74307,52,"1762
",
1759,52,1747,
1396,45,1393,
74270,45,1367,
74273,45,1378,
74274,45,1381,
74278,45,1438,
1408,45,1399,
1426,45,1429,
1441,45,1438,
1444,45,1435,
74268,45,1363,
74269,45,"1366
",
74275,45,1384,
74276,45,1387,
1405,45,1402,
74277,45,1429,
1585,49,1594,
1600,49,1609,
1621,49,"1618
",
1591,49,1576,
1612,49,1624,
3144,94,3145,
74340,94,3326,
1825,53,1828,
74338,94,3317,
74576,731,26371,
74577,738,26326,
74201,738,26326,
74203,868,29992,
74209,868,29980,
74212,868,29977,
74572,645,24205,
74204,868,29995,
74205,868,29977,
74208,868,29962,
74213,868,29971,
29968,870,29977,
74206,868,29956,
74207,868,29974,
74211,868,29998,
74210,868,29983,
23587,622,23586,
23758,627,23746,
4822,148,4825,
74351,148,4903,
74352,148,4906,
74353,148,4912,
74349,148,4894,
74350,148,4897,
74354,148,4921,
4810,148,4828,
4966,152,4960,
4996,152,5008,
74357,152,5041,
5146,155,5128,
5155,155,5128,
5185,155,5182,
5188,155,5176,
74367,155,5176,
5131,155,5134,
5179,155,5176,
5149,155,5158,
74366,155,5134,
5161,155,5182,
74365,155,5128,
74368,155,5182,
4948,152,4957,
4972,152,4969,
4975,152,4969,
5062,152,5041,
74356,152,4957,
74358,152,5047,
4963,152,4957,
5059,152,5047,
5023,152,5008,
5011,153,5017,
5056,153,5035,
5071,153,5065,
74361,153,5035,
5020,153,5035,
5029,153,4978,
5032,153,5017,
5050,153,5065,
74362,153,5038,
4993,153,4987,
5002,153,4987,
5044,153,5038,
5053,153,4978,
74359,153,4987,
74360,153,5017,
5113,154,5104,
5122,154,5125,
74364,154,5125,
5107,154,5104,
74363,154,5104,
5401,159,5395,
5407,159,5392,
5416,159,5425,
5074,159,4981,
5410,159,5425,
74377,159,5425,
74375,159,4981,
74376,159,5395,
4837,150,4834,
74355,150,4834,
4864,150,4867,
4843,150,4846,
5203,156,4882,
5218,156,5221,
74369,156,4882,
74371,156,5221,
74372,156,5254,
5230,156,5227,
5236,156,5242,
5239,156,5254,
74370,156,5206,
5215,156,5206,
5260,156,5254,
4909,151,4912,
4900,151,4897,
4933,151,4906,
5311,157,5299,
74374,157,5335,
27079,768,27085,
27274,773,27292,
5296,157,5299,
5314,157,5335,
27103,769,27094,
27256,773,27259,
10669,288,10663,
74427,288,11005,
74428,288,11017,
74425,288,10822,
74426,288,10837,
74424,288,10663,
74429,288,11077,
10597,290,10585,
74431,292,10693,
10711,292,10693,
10690,292,10774,
74430,292,10675,
74432,292,10705,
74373,157,5299,
5359,158,5365,
27082,768,27073,
27124,770,27139,
5317,157,5335,
5326,157,5266,
5377,158,5353,
27106,769,27094,
27121,770,27139,
27205,771,27190,
27319,774,27172,
11104,298,11095,
74442,298,11095,
11080,298,11083,
11107,298,11095,
74441,298,11083,
10795,293,10804,
10765,293,10768,
10789,293,10783,
74433,293,10768,
74434,293,10783,
10873,294,10876,
10921,295,10888,
10948,296,10951,
10957,296,10945,
74439,296,10951,
11182,299,11179,
11212,299,11215,
11236,299,11218,
74443,300,11293,
9736,272,9727,
10858,294,10864,
10870,294,10876,
10915,295,10918,
11194,299,11206,
11221,299,11233,
